student_id,student_firstname,student_lastname,student_email,student_birthdate,student_phone,student_address,student_gender,guardian_name,guardian_contact,student_level,course_id,student_rfid
SCC-2024001,John,Smith,john.smith@example.com,2000-01-15,09171234567,123 Oak Street,Male,Mary Smith,09187654321,1st Year,BSIT,RF100001
SCC-2024002,Maria,Santos,maria.santos@example.com,2000-03-22,09182345678,456 Maple Avenue,Female,Pedro Santos,09189876543,2nd Year,BSCS,RF100002
SCC-2024003,James,Garcia,james.garcia@example.com,1999-07-10,09193456789,789 Pine Road,Male,Elena Garcia,09181234567,3rd Year,BSIT,RF100003
SCC-2024004,Sofia,Cruz,sofia.cruz@example.com,2001-05-18,09204567890,321 Cedar Lane,Female,Ramon Cruz,09182345678,1st Year,BSCS,RF100004
SCC-2024005,Michael,Reyes,michael.reyes@example.com,2000-11-30,09215678901,654 Birch Street,Male,Ana Reyes,09193456789,2nd Year,BSIT,RF100005
SCC-2024006,Emma,Tan,emma.tan@example.com,2001-02-14,09226789012,987 Elm Court,Female,David Tan,09204567890,3rd Year,BSCS,RF100006
SCC-2024007,Daniel,Lopez,daniel.lopez@example.com,1999-09-25,09237890123,147 Spruce Drive,Male,Carmen Lopez,09215678901,1st Year,BSIT,RF100007
SCC-2024008,Isabella,Torres,isabella.torres@example.com,2000-06-08,09248901234,258 Willow Way,Female,Miguel Torres,09226789012,2nd Year,BSCS,RF100008
SCC-2024009,Alexander,Flores,alex.flores@example.com,2001-04-19,09259012345,369 Ash Avenue,Male,Rosa Flores,09237890123,3rd Year,BSIT,RF100009
SCC-2024010,Sophia,Rivera,sophia.rivera@example.com,1999-12-03,09260123456,741 Palm Street,Female,Juan Rivera,09248901234,1st Year,BSCS,RF100010
SCC-2024011,William,Gomez,william.gomez@example.com,2000-08-21,09271234567,852 Beach Road,Male,Maria Gomez,09259012345,2nd Year,BSIT,RF100011
SCC-2024012,Olivia,Lim,olivia.lim@example.com,2001-01-11,09282345678,963 Coast Highway,Female,Henry Lim,09260123456,3rd Year,BSCS,RF100012
SCC-2024013,Benjamin,Santos,ben.santos@example.com,1999-10-28,09293456789,159 Mountain View,Male,Sofia Santos,09271234567,1st Year,BSIT,RF100013
SCC-2024014,Mia,Nguyen,mia.nguyen@example.com,2000-07-16,09304567890,357 Valley Road,Female,Tran Nguyen,09282345678,2nd Year,BSCS,RF100014
SCC-2024015,Lucas,Kim,lucas.kim@example.com,2001-03-05,09315678901,246 Lake Avenue,Male,Jin Kim,09293456789,3rd Year,BSIT,RF100015
SCC-2024016,Ava,Chen,ava.chen@example.com,1999-11-13,09326789012,135 River Street,Female,Wei Chen,09304567890,1st Year,BSCS,RF100016
SCC-2024017,Henry,Wang,henry.wang@example.com,2000-09-02,09337890123,468 Forest Lane,Male,Li Wang,09315678901,2nd Year,BSIT,RF100017
SCC-2024018,Charlotte,Lee,charlotte.lee@example.com,2001-06-24,09348901234,791 Garden Road,Female,Min Lee,09326789012,3rd Year,BSCS,RF100018
SCC-2024019,Sebastian,Park,sebastian.park@example.com,1999-08-07,09359012345,024 Sunset Drive,Male,Jung Park,09337890123,1st Year,BSIT,RF100019
SCC-2024020,Amelia,Wu,amelia.wu@example.com,2000-04-30,09360123456,357 Sunrise Avenue,Female,Feng Wu,09348901234,2nd Year,BSCS,RF100020
